step,obs_mean_r,obs_mean_g,obs_mean_b,road_offset,action_steering,action_gas,action_brake,reward,cumulative_reward,terminated
26,114,142,89,0.4486,0.3712,0.7056,0.0,0.3837,11.2417,False
27,123,136,85,0.4913,0.3356,0.6739,0.006,0.3739,11.6156,False
28,101,129,93,0.4717,0.2801,0.7066,0.0,0.437,12.0526,False
29,106,135,85,0.4964,0.5147,0.5508,0.0003,0.2711,12.3236,False
30,117,143,93,0.4828,0.3434,0.6826,0.0,0.4573,12.781,False
31,108,137,90,0.5106,0.3454,0.662,0.0,0.3662,13.1471,False
32,115,136,93,0.4241,0.1865,0.7958,0.0182,0.5669,13.714,False
33,110,137,81,0.5375,0.4542,0.5425,0.01,0.3025,14.0165,False
34,118,125,86,0.6167,0.4032,0.6352,0.0458,0.337,14.3536,False
35,103,130,86,0.5317,0.4005,0.6461,0.0,0.3895,14.7431,False
36,116,130,80,0.4766,0.4156,0.614,0.0,0.3052,15.0483,False
37,118,137,92,0.5028,0.3187,0.6585,0.0,0.4965,15.5448,False
38,106,141,84,0.4007,0.3053,0.6676,0.0198,0.255,15.7998,False
39,116,138,86,0.3639,0.3643,0.6566,0.0,0.4043,16.2041,False
40,105,131,82,0.4731,0.2074,0.6635,0.0,0.3115,16.5155,False
41,112,137,92,0.3984,0.2502,0.751,0.0242,0.452,16.9675,False
42,111,137,82,0.3484,0.207,0.7169,0.0,0.4382,17.4057,False
43,100,135,92,0.3617,0.26,0.7121,0.0176,0.506,17.9118,False
44,115,141,95,0.3387,0.2512,0.7265,0.0152,0.4089,18.3207,False
45,112,134,91,0.3912,0.2297,0.7026,0.0,0.4931,18.8138,False
46,119,130,92,0.4024,0.2625,0.7004,0.0,0.362,19.1758,False
47,114,131,92,0.4062,0.2582,0.6266,0.0,0.4298,19.6056,False
48,123,130,84,0.3947,0.275,0.728,0.0,0.4175,20.0231,False
49,113,139,96,0.3758,0.2949,0.731,0.0173,0.4442,20.4673,False
50,113,141,87,0.3154,0.2912,0.6218,0.0,0.3369,20.8043,False
51,113,142,90,0.2822,0.275,0.6825,0.0022,0.4689,21.2731,False
52,113,146,89,0.2255,0.2083,0.6862,0.0,0.4721,21.7452,False
53,102,145,92,0.3432,0.205,0.7301,0.0,0.4755,22.2208,False
54,113,139,88,0.2667,0.1998,0.7661,0.0,0.4253,22.6461,False
55,104,144,91,0.2423,0.3242,0.7112,0.0,0.3846,23.0306,False
56,116,132,84,0.3091,0.2927,0.7339,0.0412,0.3918,23.4224,False
57,109,151,97,0.1925,0.118,0.8375,0.0,0.4399,23.8623,False
58,110,135,94,0.2666,0.2949,0.6789,0.0,0.462,24.3243,False
59,112,139,90,0.2272,0.1471,0.7232,0.0234,0.4401,24.7644,False
60,116,142,90,0.1481,0.071,0.8064,0.0,0.5175,25.2819,False
61,116,136,95,0.1841,0.2218,0.7533,0.0,0.5442,25.8262,False
62,120,143,88,0.2245,0.0898,0.7515,0.0,0.4639,26.2901,False
63,113,144,92,0.2039,0.0381,0.8954,0.0,0.5686,26.8587,False
64,117,142,97,0.2275,0.2271,0.761,0.0,0.4635,27.3222,False
65,130,137,88,0.1584,0.1205,0.7755,0.0057,0.4457,27.7679,False
66,115,150,92,0.2993,0.2321,0.6939,0.0041,0.4375,28.2054,False
67,117,150,95,0.0741,0.0339,0.8046,0.0228,0.5199,28.7253,False
68,114,160,93,0.0901,0.0532,0.8237,0.0,0.5256,29.2509,False
69,117,143,91,0.0972,0.0454,0.8159,0.0,0.5162,29.7671,False
70,115,154,100,0.0199,-0.0226,0.8756,0.0,0.5918,30.3589,False
71,118,149,90,0.134,0.0776,0.7936,0.0,0.5274,30.8863,False
72,118,144,84,0.1186,0.0641,0.8349,0.0184,0.5323,31.4186,False
73,107,155,97,0.0663,0.0,0.8488,0.0282,0.5611,31.9797,False
74,119,147,88,0.031,-0.0094,0.8556,0.0243,0.579,32.5587,False
75,124,147,98,-0.0241,-0.1683,0.7483,0.0055,0.4642,33.023,False
76,117,132,101,0.0045,0.0445,0.8538,0.016,0.578,33.6009,False
77,115,149,97,0.075,0.0797,0.8351,0.0,0.5223,34.1232,False
78,112,142,100,0.0215,0.0111,0.8623,0.0034,0.6384,34.7616,False
79,110,147,105,0.0056,0.0185,0.8642,0.0,0.5934,35.355,False
80,123,143,99,0.0473,0.0519,0.7837,0.0013,0.494,35.849,False
81,117,145,95,0.0759,0.0135,0.8555,0.0018,0.5996,36.4486,False
82,123,151,102,0.0271,-0.0116,0.8936,0.0344,0.6094,37.058,False
83,127,149,103,0.0267,0.0518,0.8412,0.0,0.4785,37.5365,False
84,123,151,102,0.0768,0.07,0.7702,0.0018,0.5227,38.0592,False
85,116,155,92,0.0146,0.1336,0.7745,0.0047,0.4486,38.5079,False
86,120,147,88,-0.0115,0.0885,0.8163,0.0,0.5865,39.0944,False
87,116,146,91,0.0361,0.083,0.774,0.0,0.4947,39.589,False
88,116,154,98,-0.0115,-0.0543,0.7658,0.026,0.5435,40.1325,False
89,121,154,95,-0.0178,-0.0472,0.8114,0.0,0.5105,40.643,False
90,114,151,93,0.064,-0.0122,0.8137,0.0,0.5526,41.1957,False
91,108,144,97,-0.0143,0.006,0.8461,0.0136,0.6365,41.8322,False
92,112,148,85,-0.1322,-0.2636,0.6414,0.0232,0.3601,42.1923,False
93,118,149,95,0.0185,-0.0136,0.8651,0.0,0.5605,42.7528,False
94,127,154,100,-0.0177,-0.0316,0.8072,0.0,0.5738,43.3265,False
95,117,146,97,-0.0112,-0.0999,0.8349,0.0057,0.5847,43.9113,False
96,122,140,98,0.0273,0.0683,0.8013,0.0,0.5034,44.4147,False
97,119,153,102,-0.0021,-0.0699,0.8105,0.0,0.4386,44.8533,False
98,125,136,94,0.0186,0.03,0.8266,0.0176,0.5262,45.3795,False
99,123,143,90,-0.0914,0.0985,0.7683,0.0121,0.5337,45.9133,False
100,125,143,100,-0.0355,-0.1233,0.8811,0.0262,0.5476,46.4609,False
101,109,142,99,0.0839,0.054,0.8005,0.0,0.5317,46.9926,False
102,120,145,97,0.0148,-0.0133,0.8836,0.0,0.572,47.5646,False
103,122,154,93,-0.0659,-0.0855,0.7592,0.0056,0.3979,47.9626,False
104,121,153,94,-0.0338,0.0203,0.8537,0.0,0.5462,48.5088,False
105,122,147,88,-0.0279,0.0455,0.8441,0.0128,0.6021,49.1109,False
106,119,154,100,0.0288,0.0679,0.8117,0.0245,0.4207,49.5316,False
107,116,144,100,0.0038,-0.0406,0.8048,0.0,0.5504,50.082,False
108,111,143,88,-0.0059,0.1416,0.7616,0.0008,0.4287,50.5107,False
109,116,153,98,0.0286,-0.0847,0.7873,0.0291,0.5475,51.0582,False
110,132,151,96,0.0535,-0.0218,0.9341,0.036,0.6797,51.7379,False
111,117,147,89,0.0177,0.0234,0.8362,0.0149,0.5568,52.2948,False
112,110,144,88,0.0026,0.0073,0.867,0.0119,0.584,52.8788,False
113,123,156,96,0.0107,0.0373,0.9008,0.0,0.5747,53.4535,False
114,123,139,92,0.0488,0.1314,0.7427,0.0072,0.4071,53.8606,False
115,125,146,103,0.0312,0.0162,0.8426,0.0111,0.6565,54.5171,False
116,120,149,98,0.0694,0.0589,0.8069,0.0,0.4934,55.0106,False
117,123,158,96,-0.0275,-0.0563,0.8156,0.0,0.6224,55.633,False
118,128,151,97,-0.0102,0.0277,0.8276,0.0,0.515,56.1479,False
119,114,150,100,0.0655,0.03,0.8042,0.0,0.5652,56.7131,False
120,114,146,98,-0.0156,-0.0308,0.8409,0.0,0.5112,57.2243,False
121,112,150,96,0.091,0.1009,0.752,0.0116,0.5126,57.7369,False
122,116,147,88,0.0889,0.1288,0.8187,0.003,0.5194,58.2563,False
123,125,139,109,0.0846,-0.069,0.837,0.0,0.5436,58.7999,False
124,121,152,88,-0.0332,-0.0032,0.8285,0.0,0.5928,59.3927,False
125,122,154,93,0.0101,-0.0087,0.8274,0.0042,0.5372,59.9299,False
126,110,153,86,-0.0236,0.0392,0.8395,0.0,0.4943,60.4242,False
127,115,148,97,0.0416,0.0162,0.8091,0.0,0.5829,61.0071,False
128,109,142,94,0.0747,0.1341,0.8487,0.0183,0.5016,61.5087,False
129,125,137,98,0.0264,-0.0208,0.8529,0.0061,0.605,62.1137,False
130,127,150,85,-0.0239,-0.1518,0.7823,0.0053,0.5517,62.6654,False
131,122,153,99,-0.0503,0.0254,0.8633,0.0168,0.5681,63.2335,False
132,114,154,90,-0.0076,-0.0563,0.7958,0.0,0.5873,63.8208,False
133,125,150,92,-0.1098,-0.1772,0.7961,0.0243,0.5344,64.3552,False
134,118,148,99,-0.0308,-0.0222,0.8424,0.0,0.5358,64.891,False
135,111,152,94,-0.1128,-0.099,0.8336,0.0178,0.6221,65.5131,False
136,114,153,95,-0.046,0.0149,0.8339,0.0147,0.5078,66.0209,False
137,115,145,97,-0.0953,-0.018,0.8928,0.0,0.5927,66.6136,False
138,117,149,95,-0.1174,-0.0823,0.8208,0.0101,0.534,67.1476,False
139,116,142,90,-0.1533,-0.1681,0.8449,0.0065,0.5809,67.7285,False
140,110,148,92,-0.1383,-0.0865,0.7877,0.0006,0.5729,68.3015,False
141,123,140,94,-0.1043,-0.0683,0.8206,0.0,0.5989,68.9003,False
142,117,141,89,-0.092,-0.0348,0.7896,0.0,0.5376,69.4379,False
143,113,151,98,-0.1301,-0.1501,0.7463,0.0163,0.4605,69.8984,False
144,123,151,94,-0.1008,-0.0996,0.82,0.0116,0.4497,70.3482,False
145,112,151,94,-0.0547,-0.0105,0.8894,0.0006,0.5442,70.8924,False
146,107,144,97,-0.2108,-0.0833,0.9228,0.0,0.7141,71.6065,False
147,122,131,91,-0.2179,-0.1055,0.7881,0.0099,0.4229,72.0294,False
148,123,140,89,-0.2928,-0.2147,0.6946,0.0145,0.3843,72.4136,False
149,114,147,89,-0.1745,-0.1601,0.7921,0.046,0.5669,72.9805,False
150,116,141,93,-0.1823,-0.1125,0.743,0.0215,0.488,73.4685,False
151,108,137,91,-0.3039,-0.2934,0.7112,0.0,0.4713,73.9398,False
152,115,149,88,-0.243,-0.2312,0.7027,0.0016,0.4546,74.3944,False
153,113,142,90,-0.2262,-0.079,0.815,0.0362,0.6136,75.0081,False
154,113,143,87,-0.2888,-0.1925,0.7878,0.0125,0.5161,75.5242,False
155,116,145,87,-0.2707,-0.2239,0.7224,0.0066,0.4776,76.0017,False
156,108,135,81,-0.3171,-0.1881,0.7839,0.018,0.4627,76.4644,False
157,110,138,87,-0.3992,-0.2222,0.7627,0.0,0.5062,76.9706,False
158,105,147,82,-0.2982,-0.2503,0.6377,0.0096,0.3528,77.3234,False
159,112,150,88,-0.2965,-0.248,0.6775,0.0,0.3822,77.7056,False
160,112,140,86,-0.3377,-0.2864,0.63,0.0,0.4058,78.1114,False
161,112,135,93,-0.4335,-0.2673,0.7831,0.0166,0.5314,78.6428,False
162,112,138,83,-0.4343,-0.2673,0.6988,0.0,0.5033,79.1461,False
163,115,137,84,-0.4639,-0.2647,0.7756,0.0258,0.562,79.7081,False
164,104,145,87,-0.379,-0.2237,0.6616,0.0,0.4416,80.1497,False
165,105,134,86,-0.3637,-0.3707,0.6232,0.0052,0.2569,80.4066,False
166,114,136,95,-0.415,-0.2944,0.7201,0.0,0.5233,80.9299,False
167,101,132,83,-0.3978,-0.3619,0.6581,0.0144,0.4181,81.3481,False
168,110,130,85,-0.4963,-0.403,0.6497,0.0289,0.321,81.669,False
169,105,138,89,-0.4531,-0.3296,0.6186,0.0,0.3819,82.0509,False
170,117,137,91,-0.5358,-0.3517,0.7116,0.0,0.3647,82.4156,False
171,111,131,85,-0.5121,-0.4376,0.6404,0.0056,0.3776,82.7932,False
172,110,140,78,-0.4352,-0.4659,0.6098,0.0291,0.2522,83.0454,False
173,116,140,86,-0.4961,-0.3613,0.6239,0.0,0.3045,83.3499,False
174,106,146,95,-0.428,-0.1624,0.7737,0.0,0.5301,83.88,False
175,106,136,89,-0.4652,-0.361,0.6398,0.0,0.4113,84.2913,False
176,106,136,90,-0.3583,-0.2659,0.6377,0.0,0.3866,84.6778,False
177,105,130,82,-0.4925,-0.2625,0.7036,0.0,0.4092,85.0871,False
178,108,127,80,-0.5691,-0.3914,0.6285,0.0,0.2383,85.3254,False
179,112,141,87,-0.5013,-0.3629,0.6929,0.0118,0.3894,85.7148,False
180,113,125,79,-0.5478,-0.3843,0.5492,0.0068,0.3084,86.0232,False
181,101,142,92,-0.4502,-0.3226,0.682,0.0,0.3813,86.4046,False
182,109,130,83,-0.4956,-0.4401,0.5617,0.0291,0.2822,86.6868,False
183,104,131,87,-0.5026,-0.4574,0.6112,0.0336,0.3111,86.9979,False
184,108,134,78,-0.4992,-0.2612,0.7213,0.0,0.4218,87.4197,False
185,122,132,86,-0.4526,-0.3284,0.6659,0.0233,0.3873,87.8069,False
186,111,139,81,-0.5081,-0.3751,0.676,0.0,0.3709,88.1778,False
187,115,145,76,-0.4419,-0.3368,0.6149,0.0036,0.4136,88.5914,False
188,121,134,91,-0.4231,-0.2705,0.7456,0.0,0.3456,88.937,False
189,115,133,95,-0.4865,-0.2125,0.7048,0.0443,0.4047,89.3416,False
190,107,133,93,-0.509,-0.3503,0.5951,0.0,0.28,89.6216,False
191,103,138,91,-0.4812,-0.3962,0.6212,0.0025,0.3485,89.9701,False
192,111,136,86,-0.4122,-0.3172,0.5917,0.0,0.3297,90.2998,False
193,108,143,92,-0.4348,-0.2618,0.7162,0.0372,0.5148,90.8145,False
194,104,143,95,-0.3991,-0.3343,0.6558,0.0377,0.472,91.2866,False
195,114,134,90,-0.3331,-0.1987,0.7901,0.0326,0.4636,91.7501,False
196,113,140,83,-0.3999,-0.4392,0.6344,0.0191,0.3417,92.0918,False
197,120,144,85,-0.4417,-0.3451,0.6045,0.0,0.3417,92.4335,False
198,111,137,98,-0.3378,-0.2157,0.6979,0.0166,0.386,92.8195,False
199,113,137,88,-0.3771,-0.2066,0.7572,0.0,0.5062,93.3257,False
200,110,137,73,-0.3248,-0.2927,0.7229,0.0262,0.4225,93.7481,False
201,118,138,83,-0.3035,-0.3178,0.7241,0.0223,0.3783,94.1264,False
202,111,129,86,-0.3928,-0.3103,0.7279,0.0,0.4218,94.5482,False
203,108,135,96,-0.2637,-0.2653,0.7005,0.019,0.3707,94.9189,False
204,114,142,89,-0.2752,-0.2154,0.746,0.0136,0.5164,95.4353,False
205,115,147,95,-0.3382,-0.2541,0.7622,0.0,0.5667,96.002,False
206,115,138,88,-0.2803,-0.2893,0.6787,0.016,0.4118,96.4139,False
207,119,138,81,-0.27,-0.1542,0.7804,0.0,0.5067,96.9206,False
208,107,150,88,-0.2689,-0.2111,0.7208,0.0,0.4526,97.3732,False
209,111,138,93,-0.2138,-0.0955,0.7754,0.0,0.5651,97.9383,False
210,119,136,93,-0.1728,-0.2403,0.7198,0.0,0.4978,98.4361,False
211,111,138,85,-0.2317,-0.2348,0.6934,0.0096,0.4137,98.8498,False
212,118,142,90,-0.1529,-0.0837,0.7987,0.0,0.5391,99.3889,False
213,104,136,106,-0.1576,-0.1662,0.7172,0.0038,0.4815,99.8703,False
214,129,143,86,-0.1832,-0.1472,0.7614,0.0115,0.4302,100.3005,False
215,115,149,95,-0.1739,-0.1304,0.7962,0.0372,0.5781,100.8786,False
216,121,136,81,-0.2285,-0.1618,0.7374,0.0,0.5524,101.431,False
217,113,143,95,-0.2342,-0.2163,0.7314,0.0,0.5109,101.9419,False
218,119,147,88,-0.1396,-0.0958,0.8029,0.0052,0.4657,102.4076,False
219,123,144,94,-0.1796,-0.1817,0.7682,0.0229,0.3888,102.7964,False
220,123,147,86,-0.1281,-0.0556,0.8141,0.0,0.5784,103.3747,False
221,116,146,94,-0.1425,-0.1137,0.8309,0.024,0.5096,103.8844,False
222,115,140,87,-0.1952,-0.1371,0.6906,0.0,0.4462,104.3306,False
223,123,155,90,-0.0783,0.0955,0.915,0.0,0.6944,105.025,False
224,129,153,95,-0.1077,-0.1472,0.7342,0.007,0.4324,105.4575,False
225,119,153,91,-0.0742,0.0277,0.8509,0.0,0.5577,106.0152,False
226,127,151,95,-0.1146,-0.2455,0.6774,0.0,0.419,106.4341,False
227,117,139,92,-0.0788,-0.1838,0.7747,0.0,0.4273,106.8615,False
228,124,153,94,0.0234,-0.0569,0.8298,0.0154,0.5174,107.3788,False
229,124,152,96,-0.0413,-0.1016,0.7681,0.0,0.5005,107.8793,False
230,117,141,93,-0.0138,0.0019,0.8919,0.0034,0.5982,108.4775,False
231,114,145,88,-0.0989,-0.0568,0.8122,0.0207,0.5717,109.0492,False
232,123,148,90,0.0896,0.0519,0.8433,0.0,0.7052,109.7544,False
233,115,156,99,0.0673,0.0415,0.7905,0.0,0.5311,110.2855,False
234,114,152,94,0.0478,0.0675,0.8116,0.008,0.4971,110.7826,False
235,116,144,90,0.0251,0.0688,0.8923,0.0,0.6744,111.457,False
236,117,158,96,-0.0121,-0.0886,0.8398,0.0278,0.4791,111.9361,False
237,124,149,97,0.0123,-0.0125,0.8555,0.0,0.5131,112.4492,False
238,121,147,96,0.0453,0.0298,0.8157,0.0,0.5183,112.9675,False
239,122,147,89,-0.0364,0.0018,0.8517,0.0041,0.5669,113.5344,False
240,121,141,91,-0.0255,-0.0654,0.8219,0.0,0.5168,114.0512,False
241,115,146,90,-0.0854,-0.0694,0.8298,0.0,0.5519,114.6031,False
242,122,151,92,-0.0396,-0.0279,0.7916,0.0,0.5428,115.1459,False
243,124,145,96,0.0826,0.0197,0.8659,0.018,0.6432,115.7891,False
244,122,151,96,-0.0169,-0.0564,0.7754,0.0156,0.5164,116.3055,False
245,121,145,96,-0.0163,-0.0063,0.9118,0.0071,0.6004,116.9059,False
246,115,148,101,0.0151,0.0035,0.8172,0.0,0.604,117.5099,False
247,119,149,97,-0.0822,-0.0316,0.8445,0.0079,0.53,118.0399,False
248,115,149,93,0.0447,-0.0297,0.8739,0.0,0.513,118.5529,False
249,118,140,88,0.0595,0.0236,0.8269,0.0071,0.6183,119.1712,False
250,111,147,91,0.0136,-0.0036,0.8617,0.0024,0.6459,119.8171,False
251,110,156,92,0.0757,0.1056,0.8493,0.0,0.524,120.3411,False
252,117,145,98,-0.075,-0.1127,0.8106,0.0,0.5116,120.8527,False
253,115,147,93,0.0816,0.0753,0.8228,0.0071,0.5011,121.3538,False
254,119,148,90,-0.0491,-0.0216,0.7707,0.0,0.5297,121.8835,False
255,117,155,90,-0.0786,0.0399,0.7907,0.0,0.6132,122.4967,False
256,119,155,94,-0.0285,-0.0818,0.8469,0.0,0.6004,123.0971,False
257,121,151,98,0.0749,0.0168,0.8636,0.0,0.6401,123.7372,False
258,117,144,102,-0.0216,-0.0725,0.839,0.0314,0.6013,124.3385,False
259,117,149,92,-0.0692,-0.1521,0.7918,0.0,0.5106,124.8491,False
260,125,150,93,-0.0892,0.039,0.8801,0.0,0.6524,125.5015,False
261,119,145,88,-0.0314,-0.098,0.7856,0.002,0.5511,126.0526,False
262,116,141,102,-0.1274,-0.1445,0.7753,0.0,0.5706,126.6231,False
263,118,155,86,-0.094,0.0084,0.8042,0.0,0.5191,127.1423,False
264,118,147,100,0.0471,-0.0699,0.7604,0.0,0.411,127.5532,False
265,115,157,92,0.0352,0.0718,0.7448,0.0049,0.5373,128.0905,False
266,114,153,91,-0.038,-0.1133,0.7523,0.0017,0.5023,128.5929,False
267,115,150,88,-0.0551,0.0335,0.8937,0.014,0.5951,129.188,False
268,123,151,106,-0.0289,-0.1518,0.7044,0.0019,0.4287,129.6167,False
269,115,140,94,0.086,-0.0407,0.8155,0.0,0.674,130.2907,False
270,119,150,94,-0.0104,-0.0405,0.776,0.0,0.4826,130.7734,False
271,123,156,99,0.016,0.0703,0.7873,0.0177,0.4766,131.25,False
272,117,152,91,-0.038,-0.0304,0.8401,0.0,0.5718,131.8217,False
273,122,150,94,-0.0228,-0.0373,0.8015,0.0,0.5946,132.4164,False
274,112,158,95,0.0089,0.0875,0.8455,0.0113,0.6772,133.0936,False
275,119,148,92,-0.0142,0.1187,0.8461,0.0,0.592,133.6855,False
276,118,143,99,-0.112,-0.0437,0.736,0.0483,0.4187,134.1043,False
277,119,149,93,0.0507,0.0007,0.8223,0.0016,0.6563,134.7605,False
278,110,152,86,-0.0397,-0.0549,0.8222,0.007,0.5486,135.3091,False
279,123,138,91,0.1015,-0.0012,0.8944,0.0,0.5734,135.8825,False
280,115,150,95,0.0356,0.0327,0.8138,0.0,0.4922,136.3747,False
281,121,153,90,0.0106,-0.0898,0.7998,0.0,0.5682,136.9429,False
282,119,147,90,0.0354,0.0597,0.7709,0.0,0.5197,137.4626,False
283,124,155,92,0.0148,0.1315,0.7164,0.0127,0.4706,137.9333,False
284,130,153,101,0.0033,0.0455,0.8828,0.0,0.6637,138.597,False
285,112,159,91,0.0458,0.0062,0.7736,0.0204,0.4779,139.0749,False
286,114,143,100,0.0879,0.0976,0.8895,0.0533,0.6653,139.7401,False
287,120,153,91,0.0292,0.1191,0.8135,0.0,0.507,140.2471,False
288,113,143,96,0.0305,0.1171,0.8128,0.003,0.6409,140.8879,False
289,122,140,91,0.0535,-0.0201,0.862,0.0076,0.6165,141.5044,False
290,121,135,96,0.129,0.1273,0.7699,0.0362,0.4508,141.9552,False
291,119,147,86,0.1644,0.1138,0.8031,0.0,0.4241,142.3793,False
292,118,147,96,0.1208,0.139,0.766,0.0,0.5324,142.9117,False
293,123,143,93,0.1429,0.1302,0.8005,0.0,0.5022,143.4139,False
294,112,138,90,0.0939,-0.0717,0.8092,0.0,0.5288,143.9427,False
295,116,141,91,0.1811,0.1149,0.7488,0.0,0.5201,144.4628,False
296,112,144,100,0.177,0.1447,0.7356,0.0402,0.5173,144.9801,False
297,121,150,93,0.1263,0.0086,0.8059,0.0354,0.6046,145.5847,False
298,109,147,90,0.085,0.0986,0.8346,0.0,0.4941,146.0788,False
299,117,147,87,0.1262,0.0032,0.8235,0.0,0.6297,146.7085,False
300,118,143,95,0.1667,0.0771,0.7311,0.0015,0.4444,147.1528,False
301,109,150,91,0.2714,0.284,0.7097,0.0279,0.3123,147.4652,False
302,110,135,93,0.3041,0.1751,0.8143,0.0011,0.4663,147.9314,False
303,115,139,84,0.2177,0.1977,0.7722,0.0,0.499,148.4304,False
304,120,140,85,0.2326,0.0692,0.7878,0.0,0.4709,148.9013,False
305,109,144,96,0.2794,0.3344,0.6026,0.0,0.3275,149.2288,False
306,110,136,92,0.2801,0.1918,0.7391,0.012,0.4794,149.7083,False
307,118,140,92,0.3392,0.2601,0.7006,0.0,0.4124,150.1206,False
308,113,142,85,0.2795,0.2204,0.69,0.0,0.3942,150.5149,False
309,108,135,84,0.366,0.311,0.701,0.0232,0.3516,150.8665,False
310,117,142,95,0.3193,0.1483,0.8423,0.0,0.5527,151.4192,False
311,109,133,94,0.3864,0.2895,0.6997,0.0,0.3131,151.7323,False
312,118,134,84,0.3423,0.2172,0.737,0.0019,0.4227,152.155,False
313,109,140,83,0.3371,0.1515,0.7292,0.0,0.4143,152.5692,False
314,109,127,87,0.475,0.4154,0.6774,0.0102,0.3676,152.9369,False
315,115,125,84,0.4438,0.3117,0.6755,0.0063,0.383,153.3199,False
316,112,143,86,0.3117,0.2484,0.6902,0.0,0.4629,153.7828,False
317,115,143,82,0.3894,0.3028,0.686,0.0,0.4825,154.2653,False
318,110,133,85,0.4819,0.3413,0.6811,0.0,0.3378,154.6032,False
319,122,135,83,0.3713,0.3969,0.6373,0.0017,0.4499,155.0531,False
320,118,140,82,0.4785,0.3561,0.7024,0.0176,0.3696,155.4226,False
321,103,129,89,0.4817,0.2678,0.7181,0.0,0.4429,155.8655,False
322,114,130,88,0.4212,0.2919,0.6781,0.0,0.4242,156.2897,False
323,106,139,90,0.463,0.3772,0.6586,0.0208,0.4925,156.7823,False
324,113,139,81,0.3655,0.3061,0.7016,0.0101,0.3883,157.1705,False
325,109,138,86,0.5646,0.3582,0.6012,0.0262,0.2374,157.4079,False
326,105,125,98,0.4659,0.4052,0.6731,0.0,0.4522,157.8601,False
327,114,127,85,0.5263,0.2889,0.6791,0.0,0.3582,158.2184,False
328,110,134,91,0.5208,0.4592,0.5864,0.004,0.2822,158.5005,False
329,107,135,90,0.5613,0.3418,0.6921,0.0073,0.3465,158.847,False
330,108,140,92,0.4744,0.3422,0.6917,0.0274,0.3841,159.2311,False
331,110,135,88,0.5081,0.445,0.5772,0.0238,0.253,159.4841,False
332,111,135,89,0.5271,0.4025,0.6607,0.0107,0.402,159.8861,False
333,108,131,90,0.5433,0.4565,0.5765,0.0153,0.2968,160.1829,False
334,94,141,89,0.5572,0.455,0.6725,0.0,0.3357,160.5186,False
335,110,130,82,0.4747,0.4332,0.5786,0.0,0.3477,160.8663,False
336,103,137,79,0.4637,0.4115,0.6332,0.0024,0.3576,161.224,False
337,107,128,78,0.5626,0.3947,0.6016,0.0197,0.2298,161.4537,False
338,105,140,87,0.3898,0.3303,0.7572,0.0131,0.5022,161.956,False
339,101,127,89,0.5664,0.3332,0.6172,0.0167,0.353,162.309,False
340,116,139,82,0.4684,0.3479,0.6797,0.0,0.4611,162.7701,False
341,108,136,92,0.4783,0.4078,0.5963,0.0,0.3221,163.0921,False
342,109,145,85,0.4388,0.3371,0.6504,0.0097,0.3302,163.4223,False
343,113,134,85,0.4642,0.3749,0.6619,0.0,0.3631,163.7854,False
344,107,136,82,0.5233,0.3797,0.6902,0.0,0.4354,164.2208,False
345,120,131,78,0.4908,0.4358,0.6752,0.006,0.3363,164.5571,False
346,109,134,89,0.4689,0.3468,0.5978,0.0152,0.3042,164.8612,False
347,113,137,96,0.4401,0.3022,0.6945,0.0,0.3992,165.2604,False
